n_selected_adjusted,n_tested_adjusted,rate_adjusted,n_selected_unadjusted,n_tested_unadjusted,rate_unadjusted,resample,delta_R
91,81,0.2345679012345679,97,86,0.29069767441860467,30,-0.05612977318403678
88,83,0.27710843373493976,92,86,0.23255813953488372,31,0.044550294200056045
86,81,0.30864197530864196,76,72,0.2638888888888889,32,0.04475308641975306
97,91,0.38461538461538464,79,74,0.40540540540540543,33,-0.02079002079002079
93,85,0.24705882352941178,94,87,0.1724137931034483,34,0.07464503042596349
101,92,0.22826086956521738,102,93,0.20430107526881722,35,0.02395979429640016
89,82,0.3170731707317073,90,83,0.24096385542168675,36,0.07610931531002058
92,84,0.2976190476190476,80,73,0.2465753424657534,37,0.051043705153294205
92,84,0.2857142857142857,94,83,0.20481927710843373,38,0.08089500860585197
98,86,0.19767441860465115,96,86,0.26744186046511625,39,-0.0697674418604651
84,77,0.3116883116883117,81,75,0.29333333333333333,40,0.018354978354978346
94,83,0.3373493975903614,93,84,0.3333333333333333,41,0.004016064257028107
101,95,0.2736842105263158,92,85,0.27058823529411763,42,0.003095975232198178
85,78,0.3333333333333333,94,85,0.27058823529411763,43,0.06274509803921569
79,71,0.323943661971831,76,70,0.2714285714285714,44,0.05251509054325959
62,57,0.2982456140350877,70,65,0.24615384615384617,45,0.052091767881241535
70,67,0.373134328358209,86,80,0.2875,46,0.085634328358209
87,81,0.24691358024691357,79,74,0.21621621621621623,47,0.03069736403069734
80,73,0.3835616438356164,79,70,0.2714285714285714,48,0.11213307240704501
113,104,0.3173076923076923,98,90,0.28888888888888886,49,0.02841880341880343
100,92,0.34782608695652173,100,91,0.32967032967032966,50,0.018155757286192065
87,81,0.24691358024691357,87,79,0.20253164556962025,51,0.04438193467729332
77,72,0.2361111111111111,83,76,0.17105263157894737,52,0.06505847953216373
92,88,0.20454545454545456,94,89,0.19101123595505617,53,0.013534218590398384
80,74,0.25675675675675674,100,92,0.1956521739130435,54,0.06110458284371326
89,86,0.26744186046511625,88,83,0.20481927710843373,55,0.06262258335668253
102,92,0.2608695652173913,104,94,0.2553191489361702,56,0.005550416281221104
45,41,0.21951219512195122,47,43,0.23255813953488372,57,-0.013045944412932498
78,68,0.3235294117647059,74,65,0.24615384615384617,58,0.07737556561085973
94,86,0.27906976744186046,83,73,0.3150684931506849,59,-0.03599872570882445
107,100,0.23,102,97,0.2268041237113402,60,0.0031958762886598047
80,73,0.3287671232876712,89,83,0.3253012048192771,61,0.0034659184683941135
101,91,0.2857142857142857,81,71,0.23943661971830985,62,0.04627766599597585
92,85,0.3058823529411765,96,89,0.30337078651685395,63,0.002511566424322542
88,82,0.24390243902439024,86,81,0.1728395061728395,64,0.07106293285155074
70,61,0.19672131147540983,69,60,0.21666666666666667,65,-0.01994535519125684
112,102,0.28431372549019607,102,93,0.23655913978494625,66,0.04775458570524982
72,64,0.421875,72,64,0.359375,67,0.0625
92,84,0.27380952380952384,96,90,0.25555555555555554,68,0.0182539682539683
97,89,0.25842696629213485,92,84,0.19047619047619047,69,0.06795077581594439
82,77,0.2077922077922078,83,77,0.2077922077922078,70,0.0
82,78,0.2564102564102564,88,82,0.2073170731707317,71,0.04909318323952469
84,77,0.35064935064935066,76,70,0.2714285714285714,72,0.07922077922077925
111,101,0.32673267326732675,107,97,0.2268041237113402,73,0.09992854955598654
81,76,0.21052631578947367,88,82,0.18292682926829268,74,0.027599486521180994
98,87,0.21839080459770116,94,84,0.2261904761904762,75,-0.0077996715927750315
102,92,0.31521739130434784,99,89,0.24719101123595505,76,0.06802638006839279
70,64,0.28125,81,74,0.2972972972972973,77,-0.016047297297297314
86,78,0.28205128205128205,82,74,0.24324324324324326,78,0.03880803880803879
101,90,0.16666666666666666,92,84,0.15476190476190477,79,0.01190476190476189
92,84,0.23809523809523808,87,79,0.22784810126582278,80,0.010247136829415304
113,106,0.36792452830188677,100,93,0.27956989247311825,81,0.08835463582876851
80,72,0.2777777777777778,64,58,0.25862068965517243,82,0.01915708812260536
98,88,0.23863636363636365,95,85,0.21176470588235294,83,0.026871657754010708
69,63,0.3333333333333333,76,69,0.2898550724637681,84,0.04347826086956519
86,78,0.28205128205128205,93,81,0.18518518518518517,85,0.09686609686609687
100,92,0.2826086956521739,104,92,0.22826086956521738,86,0.05434782608695651
100,93,0.3548387096774194,80,74,0.33783783783783783,87,0.017000871839581544
95,85,0.23529411764705882,80,71,0.2112676056338028,88,0.024026512013256007
83,76,0.2631578947368421,72,65,0.16923076923076924,89,0.09392712550607285
61,55,0.2545454545454545,76,70,0.2571428571428571,90,-0.0025974025974025983
103,97,0.2268041237113402,97,92,0.20652173913043478,91,0.02028238458090542
79,71,0.38028169014084506,75,68,0.3382352941176471,92,0.042046396023197985
99,92,0.2826086956521739,89,82,0.1951219512195122,93,0.08748674443266169
85,76,0.2894736842105263,78,71,0.19718309859154928,94,0.09229058561897704
97,88,0.23863636363636365,86,78,0.24358974358974358,95,-0.004953379953379938
102,93,0.3118279569892473,98,88,0.26136363636363635,96,0.05046432062561096
