gene,beta,odds_ratio,p_raw,log2fc,q_bh,replicates
TRAV6,1.1951950734617187,3.304202269812263,0.671966146308073,0.0021206188339764967,0.7978761176135868,False
TRAV7,3.2975832981352453,27.04719486685522,0.8715896213311207,0.0001453229734882011,0.9339333389859414,False
TRAV8-1,3.7612988977262414,43.00424783720674,0.1567346180182489,0.010451738563461963,0.3088462851975229,False
TRAV9-1,-25.22190344449719,1.1124141665705488e-11,0.15910195461623577,-0.0068077049498087155,0.3118406683163637,False
TRAV10,1.5285411551445989,4.611444530679721,0.7510480591459177,0.0010073315871547538,0.8540078140436226,False
TRAV11,-3.073781040132313,0.04624596601466175,0.5305543770968659,-0.0024716336345217034,0.6836064095125716,False
TRAV12-1,1.4062484616788247,4.080618057720466,0.42174916009208296,0.008876535000854426,0.591306134674558,False
TRAV8-2,0.7113909376266042,2.0368223821222204,0.7210349484903353,0.0021726053340599995,0.8334545263303732,False
TRAV8-3,1.3570557742698424,3.8847388996734655,0.2903524034413115,0.014322277768603738,0.4642522250033442,False
TRAV13-1,1.4778992223953542,4.383726765849476,0.263618698753752,0.013499105245240152,0.4363505115961909,False
TRAV12-2,1.3613724700424636,3.901544381639993,0.2010174589468674,0.0226270152835887,0.36532578266427945,False
TRAV8-4,5.531396042223186,252.49616038990584,0.049933820362343784,0.013111609155161855,0.14152269680551655,False
TRAV8-5,1.099167277662602,3.0016654290881366,0.11906364844219709,0.047248223166079836,0.25568435812495166,False
TRAV13-2,-0.08958443224160154,0.9143110645325414,0.9381673104867937,0.0003412521279826247,0.974843354255083,False
TRAV14DV4,-0.5353370015071767,0.5854719519648076,0.7645847290564971,-0.0024844401598842596,0.8633632692980402,False
TRAV9-2,-0.09770862767999942,0.9069131146384336,0.9720604972851129,-0.0004933567013602515,0.9949678659260468,False
TRAV15,-16.552506017781802,6.476464283382234e-08,0.23351400814543588,-0.002295328540394091,0.40353690909995404,False
TRAV12-3,0.8141986635289605,2.2573660376489415,0.6509305874453736,0.00448449083920497,0.7816390172278324,False
TRAV8-6,4.207389061160918,67.18090538940045,0.1395112429235255,0.00922440097599856,0.2855771661866465,False
TRAV16,1.5660557211275452,4.787726773067683,0.5661879667162055,0.0030911711583245065,0.7137300047532686,False
TRAV17,2.589590563302691,13.32431502267306,0.17640864475660245,0.012138719251737741,0.3350751587928791,False
TRAV18,1.791666426804034,5.999441771425747,0.45366331845508157,0.006787228806408134,0.6184167003700068,False
TRAV19,2.4876250094558108,12.032664693091268,0.038114059971481797,0.03739065772093767,0.11668000934041628,False
TRAV20,-2.3254180813119403,0.09774257116546527,0.4934031429283414,-0.0036375950114029554,0.6534097581113125,False
TRAV21,2.6776191974773877,14.550410371948354,0.20538658485473238,0.010368824076309503,0.37059884226558504,False
TRAV22,1.04296368512973,2.837614360143742,0.7227835298763615,0.0018218913761706979,0.8345045164566229,False
TRAV23DV6,1.5344434872983215,4.63874329193469,0.5455543690676941,0.0035076681099069813,0.6958607993811265,False
TRDV1,-1.5402095326442098,0.214336186293685,0.6392774151786593,-0.0022135558294805284,0.7719855015367704,False
TRAV24,2.6669437718807396,14.39590472274959,0.34365739139670115,0.006125204396428968,0.5185403167091766,False
TRAV25,1.4895945280894904,4.435296766102993,0.5983089638919649,0.00304046815228938,0.7390437728266721,False
TRAV26-1,1.7225018591958465,5.598517660371437,0.5720736318869968,0.002914934662821042,0.7184934438118366,False
TRAV27,-0.4408790364818868,0.643470538325578,0.7234527166438436,-0.00557857365159942,0.8350182895649801,False
TRAV28,-2.220421332688265,0.10856335789602446,0.6427163952610384,-0.0019617580814061094,0.774848380060607,False
TRAV29DV5,3.250948086050949,25.81480297342656,0.07159767522396544,0.018566765560453502,0.18100494917472207,False
TRAV30,1.3801099478628664,3.97533868346004,0.47202959056473615,0.006390449340012025,0.6350614503559353,False
TRAV31,-5.834087530310092,0.002926092012659564,0.33142350658820974,-0.002928383252049462,0.5067694890759952,False
TRAV32,-9.16089137765694,0.00010506919995873667,0.29912330457686187,-0.0023591231934882136,0.47289637518820904,False
TRAV33,-5.964261598249175,0.0025689408176145048,0.19426870628078075,-0.005430802898677426,0.35724436044819746,False
TRAV26-2,13.336085587123394,619139.312622225,0.025583832667267138,0.008927655091043186,0.08726913316014787,False
TRAV34,-1.6066695625755447,0.20055443705549383,0.7676089351795854,-0.0008454252200817474,0.8655308322795524,False
TRAV35,3.216977051995884,24.952575716412046,0.5490240301839273,0.0017476641319956266,0.6989132808279368,False
TRAV36DV7,0.18903977528822205,1.2080890036155882,0.7639290176653059,0.009117426800819395,0.8629498809703702,False
TRAV37,-14.796029097564231,3.7511653563306794e-07,0.08689336854702812,-0.006446547696851315,0.20686092406133677,False
TRAV38-1,1.4319660965170564,4.186922999601011,0.7465097788509127,0.001141202414855583,0.8509192838229568,False
