metacell_id,patient_id,O_transport_mass,source_marginal,transport_cost_diagnostic
23_P_mc001,23,0.22155688622754488,0.2215568862275449,2.568937554770444
23_P_mc002,23,0.11976047904191615,0.11976047904191617,1.7536944702403023
23_P_mc003,23,0.14371257485029942,0.1437125748502994,2.9185407512786377
23_P_mc004,23,0.16167664670658685,0.16167664670658682,1.978567787866775
23_P_mc005,23,0.16766467065868265,0.16766467065868262,2.2228328285591665
26_P_mc000,26,0.10367892976588627,0.10367892976588629,1.1703690265709286
26_P_mc001,26,0.06020066889632107,0.06020066889632107,0.5206934212526767
26_P_mc002,26,0.1036789297658863,0.10367892976588629,0.840225421056464
26_P_mc003,26,0.12709030100334448,0.12709030100334448,1.1387449444510775
26_P_mc004,26,0.08361204013377926,0.08361204013377926,0.8970622857825115
26_P_mc005,26,0.10367892976588627,0.10367892976588629,1.0566737779006887
26_P_mc006,26,0.07357859531772576,0.07357859531772576,0.5478339214033836
26_P_mc007,26,0.06020066889632108,0.06020066889632107,1.1169894823987838
26_P_mc008,26,0.09030100334448161,0.0903010033444816,0.9564206342286956
26_P_mc009,26,0.19397993311036751,0.1939799331103679,2.079307182320927
27_P_mc000,27,0.0036486838676048996,0.0036486838676048996,0.04305247869763267
27_P_mc001,27,0.004430544696377378,0.004430544696377378,0.07913135722115101
27_P_mc002,27,0.004691164972634871,0.004691164972634871,0.08351953291046953
27_P_mc003,27,0.008079228563982278,0.008079228563982278,0.07715973280347492
27_P_mc004,27,0.016158457127964557,0.016158457127964557,0.25858693263932264
27_P_mc005,27,0.014334115194162105,0.014334115194162106,0.41926184613463147
27_P_mc006,27,0.008600469116497263,0.008600469116497263,0.1499678010526698
27_P_mc007,27,0.007818608287724784,0.007818608287724784,0.09873425484196635
27_P_mc008,27,0.00833984884023977,0.00833984884023977,0.0872861082496258
27_P_mc009,27,0.007557988011467292,0.007557988011467292,0.05977331943141988
27_P_mc010,27,0.004430544696377378,0.004430544696377378,0.036457361137395713
27_P_mc011,27,0.014334115194162103,0.014334115194162106,0.2568659956520546
27_P_mc012,27,0.00990357049778473,0.009903570497784727,0.15905972375864477
27_P_mc013,27,0.005994266353922335,0.005994266353922335,0.05741512156022475
27_P_mc014,27,0.008600469116497263,0.008600469116497263,0.05290998185963946
27_P_mc015,27,0.01641907740422205,0.01641907740422205,0.2853997532329912
27_P_mc016,27,0.004169924420119885,0.004169924420119885,0.045606978046928565
27_P_mc017,27,0.010685431326557204,0.010685431326557205,0.11871561584248547
27_P_mc018,27,0.013291634089132132,0.013291634089132134,0.20052586773242992
27_P_mc019,27,0.008600469116497263,0.008600469116497263,0.09707971668470035
27_P_mc020,27,0.003909304143862392,0.003909304143862392,0.07188102336853809
27_P_mc021,27,0.0036486838676048996,0.0036486838676048996,0.03808867386447632
27_P_mc022,27,0.005212405525149857,0.005212405525149857,0.0563612739341451
27_P_mc023,27,0.008079228563982277,0.008079228563982278,0.12605082174939286
27_P_mc024,27,0.007557988011467291,0.007557988011467292,0.0818603220837375
27_P_mc025,27,0.003388063591347407,0.003388063591347407,0.041778412823602736
27_P_mc026,27,0.004691164972634871,0.004691164972634871,0.046450693790149454
27_P_mc027,27,0.01172791243158718,0.011727912431587178,0.1283185946831112
27_P_mc028,27,0.004951785248892363,0.0049517852488923635,0.05639959395082707
27_P_mc029,27,0.003909304143862392,0.003909304143862392,0.06343873145445561
27_P_mc030,27,0.016940317956737026,0.016940317956737033,0.26665430135888535
27_P_mc031,27,0.01381287464164712,0.01381287464164712,0.11981497307166475
27_P_mc032,27,0.009642950221527235,0.009642950221527235,0.0733482587402781
27_P_mc033,27,0.009121709669012249,0.009121709669012249,0.08052405677905393
27_P_mc034,27,0.006254886630179828,0.006254886630179828,0.0586894520492026
27_P_mc035,27,0.011206671879072188,0.011206671879072191,0.12192792566784395
27_P_mc036,27,0.007297367735209799,0.007297367735209799,0.08089977836097025
27_P_mc037,27,0.006776127182694815,0.006776127182694814,0.09807507475457371
27_P_mc038,27,0.004691164972634871,0.004691164972634871,0.07150520304382392
27_P_mc039,27,0.004691164972634871,0.004691164972634871,0.0725581995049149
27_P_mc040,27,0.010685431326557207,0.010685431326557205,0.1066262392833362
27_P_mc041,27,0.010946051602814701,0.0109460516028147,0.08159291342892658
27_P_mc042,27,0.009903570497784727,0.009903570497784727,0.10962651360164234
27_P_mc043,27,0.007297367735209798,0.007297367735209799,0.08765176079333721
27_P_mc044,27,0.006776127182694814,0.006776127182694814,0.0861770237218091
27_P_mc045,27,0.010685431326557207,0.010685431326557205,0.15512234045660203
27_P_mc046,27,0.004691164972634871,0.004691164972634871,0.07024895450293893
27_P_mc047,27,0.010946051602814701,0.0109460516028147,0.09714979535896755
27_P_mc048,27,0.0109460516028147,0.0109460516028147,0.16389358879158883
27_P_mc049,27,0.008079228563982278,0.008079228563982278,0.14540482431301327
27_P_mc050,27,0.012770393536617148,0.012770393536617148,0.21328453336820521
27_P_mc051,27,0.0026062027625749283,0.0026062027625749283,0.03638480137894401
27_P_mc052,27,0.004430544696377378,0.004430544696377378,0.16542526154179418
27_P_mc053,27,0.007557988011467291,0.007557988011467292,0.0452943128852228
27_P_mc054,27,0.00833984884023977,0.00833984884023977,0.0819737759937436
27_P_mc055,27,0.005212405525149857,0.005212405525149857,0.044749010170464565
27_P_mc056,27,0.003909304143862392,0.003909304143862392,0.03753059780965272
27_P_mc057,27,0.01303101381287464,0.013031013812874642,0.49064885822764853
27_P_mc058,27,0.0023455824863174153,0.0023455824863174357,0.05241086173359827
27_P_mc059,27,0.014073494917904609,0.014073494917904612,0.26639830807360715
27_P_mc060,27,0.003388063591347407,0.003388063591347407,0.029374911474597146
27_P_mc061,27,0.015115976022934585,0.015115976022934585,0.09999916689743112
27_P_mc062,27,0.003909304143862392,0.003909304143862392,0.14813172968897118
27_P_mc063,27,0.004430544696377378,0.004430544696377378,0.06261921438356176
27_P_mc064,27,0.008861089392754757,0.008861089392754757,0.0931195846996958
27_P_mc065,27,0.004691164972634871,0.004691164972634871,0.08492393344170741
27_P_mc066,27,0.0018243419338024498,0.0018243419338024498,0.025293764952510126
27_P_mc067,27,0.009903570497784725,0.009903570497784727,0.10862188488328864
27_P_mc068,27,0.011988532707844668,0.01198853270784467,0.17196438742381687
27_P_mc069,27,0.004691164972634871,0.004691164972634871,0.04821682983034629
27_P_mc070,27,0.00547302580140735,0.00547302580140735,0.06451651142181748
27_P_mc071,27,0.009382329945269743,0.009382329945269743,0.07279330308499456
27_P_mc072,27,0.010424811050299715,0.010424811050299713,0.12450832287595123
27_P_mc073,27,0.010685431326557205,0.010685431326557205,0.11485669845088631
27_P_mc074,27,0.007818608287724786,0.007818608287724784,0.061683124583956944
27_P_mc075,27,0.008600469116497263,0.008600469116497263,0.1257122655179075
27_P_mc076,27,0.009382329945269743,0.009382329945269743,0.07394126846712167
27_P_mc077,27,0.006254886630179828,0.006254886630179828,0.08352803268680797
27_P_mc078,27,0.006515506906437321,0.006515506906437321,0.053091565865394194
27_P_mc079,27,0.00547302580140735,0.00547302580140735,0.0608841674134153
27_P_mc080,27,0.010424811050299708,0.010424811050299713,0.05778671655928288
27_P_mc081,27,0.010424811050299711,0.010424811050299713,0.13073631894867807
27_P_mc082,27,0.005212405525149857,0.005212405525149857,0.059130812875037915
27_P_mc083,27,0.012509773260359654,0.012509773260359656,0.14213153454752922
27_P_mc084,27,0.007557988011467293,0.007557988011467292,0.06813953444485668
27_P_mc085,27,0.009642950221527238,0.009642950221527235,0.13805071651007178
27_P_mc086,27,0.011467292155329687,0.011467292155329685,0.11445098451025108
27_P_mc087,27,0.0023455824863174357,0.0023455824863174357,0.038911595236842525
27_P_mc088,27,0.004430544696377378,0.004430544696377378,0.0743825619351075
27_P_mc089,27,0.01641907740422205,0.01641907740422205,0.20557101244194145
27_P_mc090,27,0.0023455824863174357,0.0023455824863174357,0.027509248320251634
27_P_mc091,27,0.009903570497784727,0.009903570497784727,0.12855041943693266
27_P_mc092,27,0.0026062027625749283,0.0026062027625749283,0.07800032881574318
27_P_mc093,27,0.005212405525149857,0.005212405525149857,0.09886994711184059
27_P_mc094,27,0.014073494917904612,0.014073494917904612,0.15622710311385368
27_P_mc095,27,0.0026062027625749283,0.0026062027625749283,0.036589625931767705
27_P_mc096,27,0.004691164972634871,0.004691164972634871,0.037234845602497096
27_P_mc097,27,0.008861089392754755,0.008861089392754757,0.07448489478054422
27_P_mc098,27,0.0049517852488923635,0.0049517852488923635,0.06041002346168556
27_P_mc099,27,0.003388063591347407,0.003388063591347407,0.049503576711713106
27_P_mc100,27,0.009642950221527237,0.009642950221527235,0.14143974770214246
27_P_mc101,27,0.008079228563982278,0.008079228563982278,0.08354307498529283
27_P_mc102,27,0.003127443315089914,0.003127443315089914,0.11719131471791841
27_P_mc103,27,0.0036486838676048996,0.0036486838676048996,0.137939144160455
27_P_mc104,27,0.01198853270784467,0.01198853270784467,0.19754455639860263
27_P_mc105,27,0.007036747458952306,0.007036747458952306,0.056987208512147024
27_P_mc106,27,0.011988532707844671,0.01198853270784467,0.1812950396930004
27_P_mc107,27,0.014594735470419597,0.014594735470419598,0.17932160725453486
27_P_mc108,27,0.014334115194162105,0.014334115194162106,0.21017447540835013
27_P_mc109,27,0.0028668230388324213,0.0028668230388324213,0.040344361145019665
27_P_mc110,27,0.003909304143862392,0.003909304143862392,0.04655133349143831
27_P_mc111,27,0.0049517852488923635,0.0049517852488923635,0.09023326186072501
27_P_mc112,27,0.006776127182694814,0.006776127182694814,0.09411516050440863
27_P_mc113,27,0.006254886630179828,0.006254886630179828,0.09392609553532179
27_P_mc114,27,0.001563721657544957,0.001563721657544957,0.027741549303677754
27_P_mc115,27,0.012770393536617144,0.012770393536617148,0.17932875333886092
27_P_mc116,27,0.003127443315089914,0.003127443315089914,0.03931422885229845
27_P_mc117,27,0.012509773260359654,0.012509773260359656,0.12199623590285727
27_P_mc118,27,0.005733646077664843,0.005733646077664843,0.06540743929512903
27_P_mc119,27,0.0026062027625749283,0.0026062027625749283,0.03288275386261001
27_P_mc120,27,0.006254886630179828,0.006254886630179828,0.08778170418964679
27_P_mc121,27,0.0018243419338024498,0.0018243419338024498,0.024932035941008714
27_P_mc122,27,0.008079228563982278,0.008079228563982278,0.06408241278197699
27_P_mc123,27,0.004951785248892362,0.0049517852488923635,0.0761614581084359
27_P_mc124,27,0.017461558509252028,0.01746155850925202,0.31251596881451016
27_P_mc125,27,0.008079228563982278,0.008079228563982278,0.056008268446469035
27_P_mc126,27,0.00547302580140735,0.00547302580140735,0.06982945800992296
27_P_mc127,27,0.009642950221527235,0.009642950221527235,0.07682755544777019
29_P_mc000,29,0.01192457016084304,0.01192457016084304,0.11948799020333226
29_P_mc001,29,0.010537992235163614,0.010537992235163616,0.14220576264651555
29_P_mc002,29,0.016638935108153077,0.016638935108153077,0.21005617667539456
29_P_mc003,29,0.004991680532445923,0.004991680532445923,0.04281473653155501
29_P_mc004,29,0.008596783139212423,0.008596783139212423,0.08133947923545204
29_P_mc005,29,0.01608430393788131,0.01608430393788131,0.15842039139562844
29_P_mc006,29,0.004159733777038269,0.004159733777038269,0.033443020736486744
29_P_mc007,29,0.0074875207986688855,0.0074875207986688855,0.07874680026787272
29_P_mc008,29,0.005268996117581808,0.005268996117581808,0.03684578214750656
29_P_mc009,29,0.004714364947310039,0.004714364947310039,0.035785709669076474
29_P_mc010,29,0.012201885745978924,0.012201885745978924,0.13731857700251363
29_P_mc011,29,0.015252357182473655,0.015252357182473655,0.1492528282597778
