,selection_frequency
HLA-DRB1,0.03142857142857143
RP11-11H9.2,0.03142857142857143
COL12A1,0.03142857142857143
CPNE8,0.03142857142857143
CFI,0.03142857142857143
LMO1,0.030952380952380953
LRAT,0.030952380952380953
AURKAIP1,0.030952380952380953
GUCY1B3,0.030952380952380953
RP11-307P5.1,0.030952380952380953
ASF1B,0.030952380952380953
ADRA1B,0.030476190476190476
MYO10,0.030476190476190476
CCDC178,0.03
SDK2,0.03
RBFOX1,0.03
TCP1,0.029523809523809525
RGS7,0.029523809523809525
CTDSP2,0.029523809523809525
LRRC26,0.029523809523809525
FOXC2,0.029523809523809525
LAMA3,0.029523809523809525
COBLL1,0.029523809523809525
RP11-1102P16.1,0.029523809523809525
ROBO3,0.029047619047619048
OST4,0.029047619047619048
ASCL1,0.029047619047619048
TMEM154,0.02857142857142857
RP11-187O7.3,0.02857142857142857
NR2F2-AS1,0.02857142857142857
LINC01170,0.02857142857142857
IKZF1,0.02857142857142857
GGT5,0.02857142857142857
PLIN2,0.028095238095238097
ST3GAL1,0.028095238095238097
RP11-65I12.1,0.028095238095238097
C10orf90,0.028095238095238097
RTKN2,0.028095238095238097
KCNAB1,0.028095238095238097
FOXM1,0.028095238095238097
PLEKHG1,0.028095238095238097
HES4,0.028095238095238097
DGKH,0.028095238095238097
PLCG2,0.028095238095238097
CCDC26,0.028095238095238097
DEPDC1B,0.02761904761904762
EPSTI1,0.02761904761904762
FRMPD2,0.02761904761904762
PTX3,0.02761904761904762
IGSF21,0.02761904761904762
WDR46,0.02761904761904762
CTD-2541J13.2,0.02761904761904762
BIRC3,0.02761904761904762
RP11-557H15.4,0.027142857142857142
DNAJC2,0.027142857142857142
RELB,0.027142857142857142
LRRN2,0.027142857142857142
ATP5I,0.027142857142857142
RP13-578N3.3,0.027142857142857142
CHST8,0.027142857142857142
RP11-317N12.1,0.027142857142857142
RP11-231C18.1,0.02666666666666667
SLC16A10,0.02666666666666667
XXbac-BPG154L12.5,0.02666666666666667
SERPINH1,0.02666666666666667
SPOCD1,0.02666666666666667
PPP1R16B,0.02666666666666667
ADIPOR1,0.02666666666666667
RNF219-AS1,0.02666666666666667
PODXL,0.02666666666666667
HNRNPF,0.02666666666666667
UNC5A,0.02619047619047619
CXCL12,0.02619047619047619
AC090505.6,0.02619047619047619
SGCD,0.02619047619047619
ZFAND2A,0.02619047619047619
RP11-314P15.2,0.02619047619047619
HS6ST2,0.02619047619047619
TGFBI,0.02619047619047619
TNFRSF10D,0.025714285714285714
ST8SIA5,0.025714285714285714
WIPF3,0.025714285714285714
ME1,0.025714285714285714
RASGRF2,0.025714285714285714
COL7A1,0.025714285714285714
HS3ST3B1,0.025714285714285714
ZDHHC23,0.025238095238095237
FOSL2,0.025238095238095237
ADAMTS14,0.025238095238095237
CD38,0.025238095238095237
LIN7A,0.025238095238095237
PPP1R1C,0.025238095238095237
LGALS9,0.025238095238095237
ANGPTL4,0.025238095238095237
HILPDA,0.025238095238095237
MDM2,0.025238095238095237
ST6GAL2,0.025238095238095237
CYB5D2,0.025238095238095237
ANOS1,0.024761904761904763
BEST3,0.024761904761904763
COL1A2,0.024761904761904763
SEZ6,0.024761904761904763
RP11-454P21.1,0.024761904761904763
PHKG1,0.024761904761904763
MAML3,0.024761904761904763
LINC00868,0.024761904761904763
LRFN5,0.024761904761904763
TPH1,0.024761904761904763
EDN1,0.024285714285714285
PPARG,0.024285714285714285
CH507-513H4.1,0.024285714285714285
BUB1B,0.024285714285714285
SLC16A12,0.023809523809523808
FAM149A,0.023809523809523808
CP,0.023809523809523808
SMYD2,0.023809523809523808
RP11-315A16.1,0.023809523809523808
ANP32D,0.023809523809523808
CXCL3,0.023809523809523808
ATP1A2,0.023809523809523808
CCBE1,0.023809523809523808
CHI3L1,0.023809523809523808
KMT5A,0.023809523809523808
BCYRN1,0.023809523809523808
SLC11A1,0.023809523809523808
HSPB1,0.023809523809523808
AC016735.2,0.023809523809523808
CHIC2,0.023809523809523808
KCTD8,0.023333333333333334
FGD6,0.023333333333333334
NDC80,0.023333333333333334
ITGBL1,0.023333333333333334
LURAP1L-AS1,0.023333333333333334
CTD-2058B24.2,0.023333333333333334
KCP,0.023333333333333334
HPCAL1,0.023333333333333334
LINC00299,0.023333333333333334
CA12,0.023333333333333334
SULT1C4,0.023333333333333334
CSF3R,0.022857142857142857
FANCD2,0.022857142857142857
AC007563.5,0.022857142857142857
ARHGAP10,0.022857142857142857
PXDNL,0.022857142857142857
CDR2L,0.02238095238095238
JPH2,0.02238095238095238
LINC00500,0.02238095238095238
GTSE1,0.02238095238095238
CDH6,0.02238095238095238
SLC2A3,0.02238095238095238
PQBP1,0.02238095238095238
ITGAX,0.02238095238095238
RP11-6N13.1,0.02238095238095238
PVRL2,0.02238095238095238
SVEP1,0.021904761904761906
GGT2,0.021904761904761906
CYP4F3,0.021904761904761906
CARNS1,0.021904761904761906
APOD,0.021904761904761906
CDON,0.021904761904761906
RP11-63G10.3,0.02142857142857143
LINC01091,0.02142857142857143
DNAH6,0.02142857142857143
RP11-30J20.1,0.02142857142857143
WISP1,0.02142857142857143
RGS16,0.02142857142857143
RP11-116O11.1,0.02142857142857143
APCDD1,0.02142857142857143
COL21A1,0.02142857142857143
ARHGEF28,0.02142857142857143
ZNF804B,0.02142857142857143
DIO2,0.02142857142857143
RP1-167O22.1,0.02142857142857143
KCNN3,0.02142857142857143
METTL3,0.02142857142857143
VWC2L,0.02095238095238095
XG,0.02095238095238095
IQSEC3,0.02095238095238095
VRK1,0.02095238095238095
DPM2,0.02095238095238095
FERMT1,0.02095238095238095
HES6,0.02095238095238095
SMAD9,0.02095238095238095
CHEK1,0.02095238095238095
SUMF2,0.020476190476190478
KBTBD12,0.020476190476190478
LHX1,0.020476190476190478
HS6ST3,0.020476190476190478
NCF1,0.020476190476190478
NUSAP1,0.020476190476190478
SLC44A3,0.020476190476190478
NABP1,0.020476190476190478
ITGB4,0.020476190476190478
RP11-751H17.1,0.02
LINC01141,0.02
PVT1,0.02
PRDX4,0.02
LMAN2,0.02
WDR76,0.02
RGS1,0.02
RP11-625L16.1,0.02
PTGS1,0.02
FAP,0.02
GEMIN2,0.02
PDE10A,0.02
ZNF385D,0.02
NXPH1,0.02
FAM95B1,0.019523809523809523
CLDN11,0.019523809523809523
RGS22,0.019523809523809523
CLSPN,0.019523809523809523
RP11-76I14.1,0.019523809523809523
TGFB2,0.019523809523809523
RAB19,0.019523809523809523
PAWR,0.019523809523809523
UNC79,0.019523809523809523
AXL,0.01904761904761905
POLR2F,0.01904761904761905
SLC17A9,0.01904761904761905
MGST1,0.01904761904761905
UNC5D,0.01904761904761905
RGCC,0.01904761904761905
NRXN3,0.01904761904761905
NLGN4Y,0.018571428571428572
RP11-120D5.1,0.018571428571428572
CD81,0.018571428571428572
RP4-545C24.1,0.018571428571428572
TTLL10,0.018571428571428572
GALNT14,0.018571428571428572
MYO1E,0.018571428571428572
MGAT4C,0.018571428571428572
FRAS1,0.018095238095238095
AC092657.2,0.018095238095238095
DLX5,0.018095238095238095
SLC8A3,0.018095238095238095
AURKB,0.018095238095238095
EDNRA,0.018095238095238095
FOS,0.018095238095238095
ASIC2,0.018095238095238095
CA8,0.018095238095238095
CHRFAM7A,0.018095238095238095
RP11-3J1.1,0.018095238095238095
CDC25C,0.018095238095238095
RP11-556E13.1,0.017619047619047618
PTPRT,0.017619047619047618
CAV1,0.017619047619047618
UBB,0.017619047619047618
RASD1,0.017619047619047618
CFAP61,0.017619047619047618
IER5,0.017619047619047618
RDH10-AS1,0.017619047619047618
DLL3,0.017619047619047618
ADAMTS2,0.017142857142857144
NFATC2,0.017142857142857144
NHS,0.017142857142857144
AGBL1,0.017142857142857144
RPL11,0.017142857142857144
COL6A2,0.017142857142857144
MLIP,0.017142857142857144
ARHGEF4,0.017142857142857144
PRR11,0.016666666666666666
UPP1,0.016666666666666666
FP325317.1,0.016666666666666666
C1orf54,0.016666666666666666
MOCS1,0.016666666666666666
ADAMTS16,0.016666666666666666
NRP1,0.016666666666666666
SYNM,0.016666666666666666
KIAA1217,0.016666666666666666
MEF2D,0.016666666666666666
NPSR1,0.016666666666666666
RP11-138I17.1,0.016666666666666666
DUSP6,0.016666666666666666
ALDH1A1,0.016666666666666666
RPL3,0.016666666666666666
